potentialtype,probability,leadsource,modifiedtime_day_of_week,modifiedtime_date_no,modifiedtime_year_no,modifiedtime_month_no,modifiedtime_business_day,modifiedtime_AM_PM,modifiedtime_quarter_year,createdtime_day_of_week,createdtime_date_no,createdtime_year_no,createdtime_month_no,createdtime_business_day,createdtime_week_no_year,createdtime_day_of_year,createdtime_AM_PM,createdtime_quarter_year,gad_offline_pushdateisEmpty
7,0.32510288065843623,13,0.26337448559670784,30,4,9,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.24691358024691357,19,0.11522633744855967,0.07818930041152264,0.9876543209876543,27,284,0.8148148148148148,0.3333333333333333,0.9917695473251029
6,0.6748971193415638,13,0.01646090534979424,7,3,3,0.0205761316872428,0.1522633744855967,0.2674897119341564,0.24691358024691357,19,0.11522633744855967,0.07818930041152264,0.9876543209876543,27,284,0.18518518518518517,0.3333333333333333,0.9917695473251029
6,0.6748971193415638,13,0.26337448559670784,12,3,3,0.9794238683127572,0.8477366255144033,0.2674897119341564,0.24691358024691357,19,0.11522633744855967,0.07818930041152264,0.9876543209876543,27,284,0.18518518518518517,0.3333333333333333,0.9917695473251029
7,0.6748971193415638,13,0.13991769547325103,27,3,3,0.9794238683127572,0.8477366255144033,0.2674897119341564,0.14814814814814814,21,0.11522633744855967,0.07818930041152264,0.9876543209876543,17,296,0.8148148148148148,0.3333333333333333,0.9917695473251029
7,0.32510288065843623,13,0.26337448559670784,30,4,9,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.20164609053497942,11,0.11522633744855967,0.07818930041152264,0.9876543209876543,28,302,0.8148148148148148,0.3333333333333333,0.9917695473251029
7,0.32510288065843623,13,0.26337448559670784,30,4,9,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.20164609053497942,11,0.11522633744855967,0.07818930041152264,0.9876543209876543,28,302,0.8148148148148148,0.3333333333333333,0.9917695473251029
7,0.6748971193415638,13,0.21810699588477367,11,5,8,0.9794238683127572,0.8477366255144033,0.18930041152263374,0.14814814814814814,8,0.11522633744855967,0.07818930041152264,0.9876543209876543,28,303,0.8148148148148148,0.3333333333333333,0.9917695473251029
3,0.6748971193415638,13,0.01646090534979424,1,3,12,0.0205761316872428,0.1522633744855967,0.2674897119341564,0.24691358024691357,10,0.11522633744855967,0.2222222222222222,0.9876543209876543,28,305,0.8148148148148148,0.3333333333333333,0.9917695473251029
6,0.6748971193415638,13,0.20987654320987653,22,5,9,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.16049382716049382,25,0.11522633744855967,0.2222222222222222,0.9876543209876543,36,313,0.8148148148148148,0.3333333333333333,0.9917695473251029
6,0.6748971193415638,13,0.20987654320987653,29,5,4,0.9794238683127572,0.1522633744855967,0.3004115226337449,0.16049382716049382,25,0.11522633744855967,0.2222222222222222,0.9876543209876543,36,313,0.8148148148148148,0.3333333333333333,0.9917695473251029
